[np.float64(-3.1012429268116525e-91), np.float64(0.2792543084505785), np.float64(-0.02220601478624556), np.float64(0.5484288323979958), np.float64(2517.621169203887), np.float64(-0.5654905754990652), np.float64(1.7114105171629126), np.float64(9.515333497662)]
[np.float64(4.4070076868341733e-20), np.float64(0.24720010449852467), np.float64(-0.025387540983575534), np.float64(0.6611706964725319), np.float64(91.28253599943217), np.float64(-0.5699764370529583), np.float64(1.5974075609448368), np.float64(9.9318699744566)]
[np.float64(1.1745776446908604e-36), np.float64(0.5096399111456675), np.float64(-0.11108938136393025), np.float64(-0.1442377872384344), np.float64(5328.039449143987), np.float64(-1.501446917919538), np.float64(2.468091663140854), np.float64(9.8275008447655)]
[np.float64(1.1314892668581908e-47), np.float64(0.6207093868270447), np.float64(-0.03313686818015059), np.float64(0.030374468029574775), np.float64(7223.214754607814), np.float64(-0.9371960986964031), np.float64(1.5851866433617121), np.float64(9.224208556238)]
[np.float64(2.705114859693539e-70), np.float64(0.08368742273446435), np.float64(-0.005531568722558512), np.float64(0.6029457831918035), np.float64(1873.7684520550365), np.float64(-0.8112558763495225), np.float64(0.9472452188711133), np.float64(9.8865572313691)]
[np.float64(2.6752879910742468e-09), np.float64(0.3975016656030499), np.float64(-0.026702112742567435), np.float64(0.636947881810642), np.float64(8662.405001248297), np.float64(-0.5195079796311365), np.float64(2.284265297552611), np.float64(9.9474879401221)]
[np.float64(-2.1333153063279553e-16), np.float64(0.4998648621744133), np.float64(-0.008512405081329597), np.float64(0.5983025801639177), np.float64(8451.774028337815), np.float64(-0.5448490855049279), np.float64(2.6355138867509043), np.float64(9.958781276435)]
[np.float64(9.797748409814019e-42), np.float64(0.3915160353524405), np.float64(-0.006092959049354617), np.float64(0.4775369281790032), np.float64(162.9170066496), np.float64(-0.4744830152863695), np.float64(2.836284366906407), np.float64(9.9676954276974)]
[np.float64(1.3319145509281447e-22), np.float64(0.5983671069022206), np.float64(-0.014351552967145268), np.float64(0.6673108763810096), np.float64(8662.405001248297), np.float64(-0.6469805133876481), np.float64(2.4885669125451324), np.float64(9.97053635448)]
[np.float64(2.6065864278618756e-96), np.float64(0.5923255924891853), np.float64(-0.013924151040271362), np.float64(0.5643951838184376), np.float64(7570.727401149036), np.float64(-0.5671368793409274), np.float64(2.973041433727801), np.float64(9.9716423739314)]
